"filename", "language", "C#", "JavaScript", "Markdown", "CSS", "JSON", "XML", "Razor", "Properties", "comment", "blank", "total"
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\.config\dotnet-tools.json", "JSON", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\AccountController.cs", "C#", 50, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\CategoryController.cs", "C#", 96, 0, 0, 0, 0, 0, 0, 0, 2, 15, 113
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\ClientController.cs", "C#", 34, 0, 0, 0, 0, 0, 0, 0, 1, 5, 40
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\CrmController.cs", "C#", 114, 0, 0, 0, 0, 0, 0, 0, 0, 14, 128
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\HomeController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\MarkController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\ProductController.cs", "C#", 71, 0, 0, 0, 0, 0, 0, 0, 3, 6, 80
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\RoleController.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\SaleNoteController.cs", "C#", 70, 0, 0, 0, 0, 0, 0, 0, 1, 8, 79
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Controllers\UserController.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Data\DbSeeder.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Data\WhatsAppCrmContext.cs", "C#", 292, 0, 0, 0, 0, 0, 0, 0, 0, 72, 364
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Migrations\20241230152334_AddIdentity.Designer.cs", "C#", 711, 0, 0, 0, 0, 0, 0, 0, 2, 234, 947
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Migrations\20241230152334_AddIdentity.cs", "C#", 200, 0, 0, 0, 0, 0, 0, 0, 3, 27, 230
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Migrations\WhatsAppCrmContextModelSnapshot.cs", "C#", 709, 0, 0, 0, 0, 0, 0, 0, 1, 234, 944
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Carrito.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 11, 26
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Categorium.cs", "C#", 12, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Cliente.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Contexto.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\EnterpriseContext.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Entrega.cs", "C#", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\ErrorViewModel.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Marca.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Migration.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Pedido.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 17, 38
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Producto.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 0, 17, 38
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\ResenaProducto.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\SaleNote.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\SaleNoteDetail.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Models\Usuario.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Program.cs", "C#", 42, 0, 0, 0, 0, 0, 0, 0, 7, 17, 66
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\PublishProfiles\SoftWhatsAppCRMDashBoard - Web Deploy.pubxml", "XML", 0, 0, 0, 0, 0, 28, 0, 0, 4, 0, 32
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\ServiceDependencies\SoftWhatsAppCRMDashBoard - Web Deploy\profile.arm.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 113
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Properties\launchSettings.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash.csproj", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ClientCreateVM.cs", "C#", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ClientVM.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\LoginVM.cs", "C#", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\ProductVM.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 0, 10, 27
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\RoleVM.cs", "C#", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\SaleNoteVM.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\ViewModels\UserVM.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Account\Login.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 50, 0, 0, 5, 55
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Category\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 143, 0, 2, 8, 153
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Client\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 158, 0, 2, 13, 173
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Crm\Client.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 167, 0, 2, 13, 182
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\Views\Crm\Index.cshtml", "Razor", 0, 0, 0, 0, 0, 0, 26, 0, 0, 9, 35
